Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
"European Equities"
"19 Aug 2025"
"All datapoints provided as of end of last active trading day."
"2020 BULKERS";BMG9156K1018;2020;"Oslo Børs";NOK;133,50;135,00;133,00;133,10;"19/08/2025 16:25";CET;107862;14447074,90;133,10;19/08/2025
2CRSI;FR0013341781;AL2SI;"Euronext Growth Paris";EUR;10,12;10,16;9,88;9,91;"19/08/2025 17:35";CET;192129;1926172,60;9,91;19/08/2025
"3D SYSTEMS CORP";US88554D2053;4DDD;EuroTLX;EUR;1,977;1,977;1,969;1,969;"13/08/2025 10:24";CET;2500;4938,50;1,691;19/08/2025
"3D SYSTEMS CORP";US88554D2053;1DDD;"Euronext Global Equity Market";EUR;1,83;1,83;1,701;1,7095;"19/08/2025 17:35";CET;3368;5902,597;1,7095;19/08/2025
"3D SYSTEMS CORP";US88554D2053;2DDD;"Trading After Hours";EUR;1,5205;1,5205;1,5205;1,5205;"11/07/2025 18:25";CET;7;10,64;1,4805;31/07/2025
3M;US88579Y1010;4MMM;EuroTLX;EUR;120,00;120,00;120,00;120,00;"07/04/2025 16:17";CET;10;1200,00;132,54;19/08/2025
3M;US88579Y1010;1MMM;"Euronext Global Equity Market";EUR;137,30;137,30;137,30;137,30;"14/08/2025 09:27";CET;6;823,80;132,56;19/08/2025
3M;US88579Y1010;2MMM;"Trading After Hours";EUR;131,42;131,42;131,42;131,42;"18/07/2025 18:36";CET;35;4599,70;129,24;31/07/2025
"4AIM SICAF";IT0005204729;AIM;"Euronext Growth Milan";EUR;48,295;50,00;48,295;48,47;"19/08/2025 12:45";CET;132;6387,10;48,47;19/08/2025
"4AIM SICAF COMP 2";IT0005440323;AIM2;"Euronext Growth Milan";EUR;166,92;166,92;166,92;166,92;"19/08/2025 14:05";CET;2;333,84;166,92;19/08/2025
"5TH PLANET GAMES";DK0060945467;5PG;"Euronext Expand Oslo";NOK;0,78;0,81;0,78;0,81;"19/08/2025 12:57";CET;9828;7852,284;0,81;19/08/2025
74SOFTWARE;FR0011040500;74SW;"Euronext Paris";EUR;39,10;40,00;39,10;39,80;"19/08/2025 17:35";CET;3538;139815,50;39,80;19/08/2025
"A O Smith Corp";US8318652091;1AOS;"Euronext Global Equity Market";EUR;-;-;-;-;-;CET;-;-;62,68;19/08/2025
"A.B.P. NOCIVELLI";IT0005439861;ABP;"Euronext Growth Milan";EUR;6,40;6,50;6,40;6,45;"19/08/2025 15:25";CET;3000;19325,00;6,45;19/08/2025
A2A;IT0001233417;A2A;"Euronext Milan";EUR;2,169;2,182;2,169;2,176;"19/08/2025 17:37";CET;4197847;9130705,415;2,176;19/08/2025
A2A;IT0001233417;2A2A;"Trading After Hours";EUR;2,133;2,141;2,133;2,139;"31/07/2025 20:26";CET;28800;61604,60;2,139;31/07/2025
"AAK AB";SE0011337708;1AAK;"Euronext Global Equity Market";EUR;-;-;-;-;-;CET;-;-;22,90;19/08/2025
"AALBERTS NV";NL0000852564;AALB;"Euronext Amsterdam";EUR;30,12;30,80;30,12;30,74;"19/08/2025 17:35";CET;159908;4903828,56;30,74;19/08/2025
"AALBERTS NV";NL0000852564;2AALB;"Trading After Hours";EUR;34,00;34,00;34,00;34,00;"25/03/2025 18:00";CET;1;34,00;28,16;31/07/2025
"AASEN SPAREBANK";NO0010672181;AASB;"Euronext Growth Oslo";NOK;121,00;122,26;121,00;122,26;"19/08/2025 16:19";CET;51;6172,26;122,26;19/08/2025
AATECH;IT0005548521;AAT;"Euronext Growth Milan";EUR;0,885;0,885;0,885;0,885;"12/08/2025 11:13";CET;1500;1327,50;0,885;19/08/2025
"AB INBEV";BE0974293251;ABI;"Euronext Brussels";EUR;53,20;53,58;52,90;53,42;"19/08/2025 17:39";CET;954025;50925650,92;53,42;19/08/2025
"AB SCIENCE";FR0010557264;AB;"Euronext Paris";EUR;1,33;1,344;1,32;1,32;"19/08/2025 17:35";CET;110739;147289,34;1,32;19/08/2025
"AB SCIENCE BSA";FR001400ZRT0;ABBS;"Euronext Paris";EUR;-;-;-;-;-;CET;-;-;0,274;19/08/2025
